,original_feature_name,features,importances,colors
191,fourier.value.1byte.50,$Fourier$ $raw$ $value$ $50$ $(1$ $byte)$,0.0013743366465577853,blue
192,fourier.value.1byte.151,$Fourier$ $raw$ $value$ $151$ $(1$ $byte)$,0.001371478075721969,blue
193,fourier.value.1byte.161,$Fourier$ $raw$ $value$ $161$ $(1$ $byte)$,0.00137048576056654,blue
194,fourier.value.1byte.202,$Fourier$ $raw$ $value$ $202$ $(1$ $byte)$,0.0013674466812723485,blue
195,fourier.value.1byte.64,$Fourier$ $raw$ $value$ $64$ $(1$ $byte)$,0.0013621730962164924,blue
196,fourier.value.1byte.107,$Fourier$ $raw$ $value$ $107$ $(1$ $byte)$,0.001361008309334528,blue
197,fourier.value.1byte.174,$Fourier$ $raw$ $value$ $174$ $(1$ $byte)$,0.0013593726484268356,blue
198,fourier.value.4byte.222,$Fourier$ $raw$ $value$ $222$ $(4$ $bytes)$,0.0013587015372197985,blue
199,fourier.value.1byte.195,$Fourier$ $raw$ $value$ $195$ $(1$ $byte)$,0.0013555421681695917,blue
200,fourier.value.1byte.211,$Fourier$ $raw$ $value$ $211$ $(1$ $byte)$,0.0013549025389413191,blue
201,fourier.value.1byte.234,$Fourier$ $raw$ $value$ $234$ $(1$ $byte)$,0.001346863303582097,blue
202,fourier.value.1byte.42,$Fourier$ $raw$ $value$ $42$ $(1$ $byte)$,0.001341212906732302,blue
203,fourier.value.1byte.201,$Fourier$ $raw$ $value$ $201$ $(1$ $byte)$,0.0013390100585095948,blue
204,fourier.value.1byte.242,$Fourier$ $raw$ $value$ $242$ $(1$ $byte)$,0.0013366354919122402,blue
205,fourier.value.1byte.212,$Fourier$ $raw$ $value$ $212$ $(1$ $byte)$,0.0013355892884696025,blue
206,fourier.value.1byte.249,$Fourier$ $raw$ $value$ $249$ $(1$ $byte)$,0.0013281895201025418,blue
207,fourier.value.1byte.162,$Fourier$ $raw$ $value$ $162$ $(1$ $byte)$,0.0013239054017554664,blue
208,fourier.value.1byte.17,$Fourier$ $raw$ $value$ $17$ $(1$ $byte)$,0.00132147485424946,blue
209,fourier.value.1byte.46,$Fourier$ $raw$ $value$ $46$ $(1$ $byte)$,0.0013206439797807377,blue
210,fourier.value.4byte.112,$Fourier$ $raw$ $value$ $112$ $(4$ $bytes)$,0.0013205577998447323,blue
211,fourier.value.1byte.84,$Fourier$ $raw$ $value$ $84$ $(1$ $byte)$,0.0013201961464642537,blue
212,fourier.value.1byte.20,$Fourier$ $raw$ $value$ $20$ $(1$ $byte)$,0.0013195021014100181,blue
213,fourier.value.1byte.188,$Fourier$ $raw$ $value$ $188$ $(1$ $byte)$,0.0013103560653646292,blue
214,fourier.value.4byte.139,$Fourier$ $raw$ $value$ $139$ $(4$ $bytes)$,0.0013089217703991171,blue
215,fourier.value.1byte.2,$Fourier$ $raw$ $value$ $2$ $(1$ $byte)$,0.0013085237667229224,blue
216,fourier.value.4byte.233,$Fourier$ $raw$ $value$ $233$ $(4$ $bytes)$,0.0013051277208218446,blue
217,fourier.value.1byte.51,$Fourier$ $raw$ $value$ $51$ $(1$ $byte)$,0.001304285731235865,blue
218,fourier.value.1byte.3,$Fourier$ $raw$ $value$ $3$ $(1$ $byte)$,0.0013041573479814893,blue
219,fourier.value.1byte.39,$Fourier$ $raw$ $value$ $39$ $(1$ $byte)$,0.0013040815990130866,blue
220,fourier.value.4byte.243,$Fourier$ $raw$ $value$ $243$ $(4$ $bytes)$,0.0013012921624250538,blue
